Datum,Tagesabschnitt,Uhrzeit,Protokollnummer,Ort,Gruppe,Temperatur,Bedeckung,Wind,Schneelage,Sonneneinstrahlung,Kohlmeise_number,Kohlmeise_scan,Blaumeise_number,Blaumeise_scan,Sumpfmeise_number,Sumpfmeise_scan,Tannenmeise_number,Tannenmeise_scan,Haubenmeise_number,Haubenmeise_scan,Gimpel_number,Gimpel_scan,Goldammer_number,Goldammer_scan,Erlenzeisig_number,Erlenzeisig_scan,Haussperling_number,Haussperling_scan,Kleiber_number,Kleiber_scan,Amsel_number,Amsel_scan,Rotkehlchen_number,Rotkehlchen_scan,Stieglitz_number,Stieglitz_scan,Buchfink_number,Buchfink_scan,Zaunkönig_number,Zaunkönig_scan,Buntspecht_number,Buntspecht_scan,Bergfink_number,Bergfink_scan,Grünfink_number,Grünfink_scan,Bachstelze_number,Bachstelze_scan,Kommentar,All_Individuen_number,All_Individuen_scan
10.02.2023,Früh,08:10,,See,1,0,klar,windstill,liegt,nein,14,1,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,38,1
13.02.2023,Früh,08:10,,See,1,-3.5,klar,windstill,liegt,nein,8,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,15,0
14.02.2023,Früh,08:10,,See,1,-4.5,klar,windstill,liegt,nein,20,1,11,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37,2
09.02.2023,Früh,08:10,,See,2,-14,klar,windstill,liegt,nein,33,2,42,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90,3
08.02.2023,Früh,08:10,,See,3,-10,klar,windstill,liegt,nein,60,2,19,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,88,2
11.02.2023,Früh,08:10,4.12,See,4,-1,stark_bewölkt,windstill,liegt,nein,28,1,50,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,92,5
22.02.2023,Früh,08:10,5.12,See,5,-2,klar,windstill,liegt_nicht,nein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,5,2
21.02.2023,Früh,08:10,6.9,See,6,7,klar,Windstill,Liegt_nicht,Nein,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,0
18.02.2023,Früh,08:10,7.2,See,7,13,stark_bewölkt,leicht,liegt,nein,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interaktionen 8,4,0
23.02.2023,Früh,08:10,7.6,See,7,1,leicht_bewölkt,windstill,liegt_nicht,nein,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,Interaktikon 5,17,6
20.02.2023,Früh,08:10,8.6,See,8,8,stark_bewölkt,mäßig,liegt_nicht,nein,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0
24.02.2023,Früh,08:10,8.18,See,8,-1,stark_bewölkt,windstill,liegt_nicht,nein,8,0,17,1,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,,39,4
10.02.2023,Früh,08:20,,See,1,0,klar,windstill,liegt,nein,22,1,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,68,1
13.02.2023,Früh,08:20,,See,1,-3.5,klar,windstill,liegt,nein,19,0,16,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,48,2
14.02.2023,Früh,08:20,,See,1,-4.5,klar,windstill,liegt,nein,12,1,17,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,33,1
09.02.2023,Früh,08:20,,See,2,-14,klar,windstill,liegt,nein,65,1,45,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,121,1
08.02.2023,Früh,08:20,,See,3,-10,klar,windstill,liegt,nein,50,1,41,3,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,105,4
11.02.2023,Früh,08:20,4.12,See,4,-1,stark_bewölkt,windstill,liegt,nein,14,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,52,1
22.02.2023,Früh,08:20,5.12,See,5,-2,klar,windstill,liegt_nicht,nein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0
21.02.2023,Früh,08:20,6.9,See,6,7,klar,Windstill,Liegt_nicht,Nein,13,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,2
18.02.2023,Früh,08:20,7.2,See,7,13,stark_bewölkt,leicht,liegt,nein,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
23.02.2023,Früh,08:20,7.6,See,7,1,leicht_bewölkt,windstill,liegt_nicht,nein,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0
20.02.2023,Früh,08:20,8.6,See,8,8,stark_bewölkt,mäßig,liegt_nicht,nein,3,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,,14,5
24.02.2023,Früh,08:20,8.18,See,8,-1,stark_bewölkt,windstill,liegt_nicht,nein,3,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,0
10.02.2023,Früh,08:30,,See,1,0,klar,windstill,liegt,nein,17,2,20,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,3
13.02.2023,Früh,08:30,,See,1,-3.5,klar,windstill,liegt,nein,4,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,0
14.02.2023,Früh,08:30,,See,1,-4.5,klar,windstill,liegt,nein,25,1,17,0,4,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,,57,3
09.02.2023,Früh,08:30,,See,2,-14,klar,windstill,liegt,nein,37,1,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100,1
08.02.2023,Früh,08:30,,See,3,-10,klar,windstill,liegt,nein,22,1,55,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,97,1
11.02.2023,Früh,08:30,4.12,See,4,-1,stark_bewölkt,windstill,liegt,nein,31,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,48,1
22.02.2023,Früh,08:30,5.12,See,5,-2,klar,windstill,liegt_nicht,nein,6,1,5,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,,26,5
21.02.2023,Früh,08:30,6.9,See,6,7,klar,Windstill,Liegt_nicht,Nein,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interaktion Gimpel,6,0
18.02.2023,Früh,08:30,7.2,See,7,13,stark_bewölkt,leicht,liegt,nein,6,1,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7
23.02.2023,Früh,08:30,7.6,See,7,1,leicht_bewölkt,windstill,liegt_nicht,nein,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
20.02.2023,Früh,08:30,8.6,See,8,8,stark_bewölkt,mäßig,liegt_nicht,nein,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,0
24.02.2023,Früh,08:30,8.18,See,8,-1,stark_bewölkt,windstill,liegt_nicht,nein,0,0,1,0,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,,19,0
10.02.2023,Früh,08:40,,See,1,0,klar,windstill,liegt,nein,25,0,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50,0
13.02.2023,Früh,08:40,,See,1,-3.5,klar,windstill,liegt,nein,31,0,16,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,,71,7
14.02.2023,Früh,08:40,,See,1,-4.5,klar,windstill,liegt,nein,10,0,23,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,,48,2
09.02.2023,Früh,08:40,,See,2,-14,klar,windstill,liegt,nein,24,2,6,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41,3
08.02.2023,Früh,08:40,,See,3,-10,klar,windstill,liegt,nein,28,0,6,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,55,0
11.02.2023,Früh,08:40,4.12,See,4,-1,stark_bewölkt,windstill,liegt,nein,62,2,26,1,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,1,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,,111,5
22.02.2023,Früh,08:40,5.12,See,5,-2,klar,windstill,liegt_nicht,nein,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,0
21.02.2023,Früh,08:40,6.9,See,6,7,klar,Windstill,Liegt_nicht,Nein,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kohlmeiseninteraktion,11,2
18.02.2023,Früh,08:40,7.2,See,7,13,stark_bewölkt,leicht,liegt,nein,13,0,2,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3
23.02.2023,Früh,08:40,7.6,See,7,1,leicht_bewölkt,windstill,liegt_nicht,nein,4,1,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,17,4
20.02.2023,Früh,08:40,8.6,See,8,8,stark_bewölkt,mäßig,liegt_nicht,nein,8,0,0,0,7,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,20,3
24.02.2023,Früh,08:40,8.18,See,8,-1,stark_bewölkt,windstill,liegt_nicht,nein,11,0,2,0,4,0,0,0,0,0,3,1,0,0,3,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,27,5
10.02.2023,Früh,08:50,,See,1,0,klar,windstill,liegt,nein,10,1,20,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37,1
13.02.2023,Früh,08:50,,See,1,-3.5,klar,windstill,liegt,nein,15,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,44,0
14.02.2023,Früh,08:50,,See,1,-4.5,klar,windstill,liegt,nein,12,0,20,0,5,0,5,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,,53,1
09.02.2023,Früh,08:50,,See,2,-14,klar,windstill,liegt,nein,24,1,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44,1
08.02.2023,Früh,08:50,,See,3,-10,klar,windstill,liegt,nein,44,2,38,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,89,3
11.02.2023,Früh,08:50,4.12,See,4,-1,stark_bewölkt,windstill,liegt,nein,36,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,45,2
22.02.2023,Früh,08:50,5.12,See,5,-2,klar,windstill,liegt_nicht,nein,3,0,1,0,1,0,0,0,0,0,2,1,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,3
21.02.2023,Früh,08:50,6.9,See,6,7,klar,Windstill,Liegt_nicht,Nein,12,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Rotkehlchen Interaktion,21,3
18.02.2023,Früh,08:50,7.2,See,7,13,stark_bewölkt,leicht,liegt,nein,2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
23.02.2023,Früh,08:50,7.6,See,7,1,leicht_bewölkt,windstill,liegt_nicht,nein,14,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,2,0,0,36,0
20.02.2023,Früh,08:50,8.6,See,8,8,stark_bewölkt,mäßig,liegt_nicht,nein,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,13,0
24.02.2023,Früh,08:50,8.18,See,8,-1,stark_bewölkt,windstill,liegt_nicht,nein,2,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,1
10.02.2023,Früh,09:00,,See,1,0,klar,windstill,liegt,nein,13,0,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,29,1
13.02.2023,Früh,09:00,,See,1,-3.5,klar,windstill,liegt,nein,12,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39,1
14.02.2023,Früh,09:00,,See,1,-4.5,klar,windstill,liegt,nein,6,0,10,0,6,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,26,1
09.02.2023,Früh,09:00,,See,2,-14,klar,windstill,liegt,nein,43,1,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,57,2
08.02.2023,Früh,09:00,,See,3,-10,klar,windstill,liegt,nein,33,1,44,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,86,1
11.02.2023,Früh,09:00,4.12,See,4,-1,stark_bewölkt,windstill,liegt,nein,54,2,9,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,78,2
22.02.2023,Früh,09:00,5.12,See,5,-2,klar,windstill,liegt_nicht,nein,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0
21.02.2023,Früh,09:00,6.9,See,6,7,klar,Windstill,Liegt_nicht,Nein,24,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,Kohlemiseninteraktion,35,0
18.02.2023,Früh,09:00,7.2,See,7,13,stark_bewölkt,leicht,liegt,nein,20,0,50,0,3,0,0,0,0,0,1,0,0,0,6,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0
23.02.2023,Früh,09:00,7.6,See,7,1,leicht_bewölkt,windstill,liegt_nicht,nein,6,0,4,0,1,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2
20.02.2023,Früh,09:00,8.6,See,8,8,stark_bewölkt,mäßig,liegt_nicht,nein,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,12,2
24.02.2023,Früh,09:00,8.18,See,8,-1,stark_bewölkt,windstill,liegt_nicht,nein,20,1,5,0,7,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,8,4,3,0,0,0,0,0,0,0,0,0,0,0,,51,8
10.02.2023,Früh,09:10,,See,1,0,klar,windstill,liegt,nein,18,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,1
13.02.2023,Früh,09:10,,See,1,-3.5,klar,windstill,liegt,nein,13,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44,0
14.02.2023,Früh,09:10,,See,1,-4.5,klar,windstill,liegt,nein,8,0,10,0,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,32,4
09.02.2023,Früh,09:10,,See,2,-14,klar,windstill,liegt,nein,48,1,26,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,80,4
08.02.2023,Früh,09:10,,See,3,-10,klar,windstill,liegt,nein,35,3,29,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,70,4
11.02.2023,Früh,09:10,4.12,See,4,-1,stark_bewölkt,windstill,liegt,nein,43,1,24,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,82,3
22.02.2023,Früh,09:10,5.12,See,5,-2,klar,windstill,liegt_nicht,ja,13,1,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,24,2
21.02.2023,Früh,09:10,6.9,See,6,7,klar,Windstill,Liegt_nicht,Nein,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,0
18.02.2023,Früh,09:10,7.2,See,7,13,stark_bewölkt,leicht,liegt,nein,6,0,4,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11
23.02.2023,Früh,09:10,7.6,See,7,1,leicht_bewölkt,windstill,liegt_nicht,nein,6,0,0,0,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
20.02.2023,Früh,09:10,8.6,See,8,8,stark_bewölkt,mäßig,liegt_nicht,nein,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,0
24.02.2023,Früh,09:10,8.18,See,8,-1,stark_bewölkt,windstill,liegt_nicht,nein,5,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,0
10.02.2023,Früh,09:20,,See,1,0,klar,windstill,liegt,nein,9,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,,28,1
13.02.2023,Früh,09:20,,See,1,-3.5,klar,windstill,liegt,nein,25,0,24,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,62,1
14.02.2023,Früh,09:20,,See,1,-4.5,klar,windstill,liegt,nein,8,1,6,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,1
09.02.2023,Früh,09:20,,See,2,-14,klar,windstill,liegt,nein,32,1,70,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,109,2
